Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
GET,/health,542,0,300,946.0037170275826,3.1928130192682147,8735.781394992955,67.0,4.568726623114973,0.0,300,770,1200,1400,2800,4200,6500,7500,8700,8700,8700
GET,/metrics,266,0,350,1013.2776058488613,4.248387995176017,8158.339513000101,582.0,2.2422163869900054,0.0,360,1100,1400,1700,2600,4600,5700,7200,8200,8200,8200
POST,/predict,2554,29,270,676.5038555894419,69.10383299691603,7010.999485995853,199.56382145653876,21.52864906906945,0.24445216249139157,270,460,670,900,1800,2900,4200,5300,6900,7000,7000
GET,/status,754,0,320,968.605329022886,4.683322011260316,8809.246868011542,638.9615384615385,6.35575622477618,0.0,320,820,1200,1600,3000,4400,5700,7200,8800,8800,8800
,Aggregated,4116,29,280,787.2655789707082,3.1928130192682147,8809.246868011542,287.3151117589893,34.69534830395061,0.24445216249139157,280,570,890,1200,2300,3500,5000,5900,8400,8800,8800
