Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
GET,/health,569,0,900,882.8093697860558,2.94010600191541,2203.3514979993924,67.0,4.77014451103991,0.0,900,1100,1200,1300,1500,1700,1900,2000,2200,2200,2200
GET,/metrics,270,0,870,875.8462389886888,3.8879310013726354,2314.3470890063327,582.0,2.2635132126199924,0.0,870,1100,1200,1300,1600,1700,2000,2100,2300,2300,2300
POST,/predict,2630,34,510,568.0676200536891,68.10780501109548,1893.7023770122323,199.0300380228137,22.04829536737252,0.2850349971447398,510,670,780,850,1100,1300,1500,1600,1800,1900,1900
GET,/status,788,0,910,892.1959565795526,4.7144240234047174,2303.9262800011784,639.1345177664974,6.606105227942793,0.0,910,1100,1200,1300,1500,1800,2000,2000,2300,2300,2300
,Aggregated,4257,34,640,689.6559244681954,2.94010600191541,2314.3470890063327,287.138830162086,35.688058318975216,0.2850349971447398,640,840,980,1100,1300,1500,1700,1900,2200,2300,2300
