Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
GET,/health,289,0,3100,3077.7859325082827,496.1421549960505,4756.865218980238,67.0,2.422566046901637,0.0,3100,3400,3500,3600,3800,4100,4300,4500,4800,4800,4800
GET,/metrics,160,0,3200,3157.6025462858524,801.2743860017508,4746.869344002334,582.0,1.341213036346927,0.0,3200,3400,3500,3600,3900,4400,4600,4700,4700,4700,4700
POST,/predict,1448,25,2900,2750.823011992623,69.33292699977756,4416.347935999511,198.97099447513813,12.13797797893969,0.20956453692920735,2900,3000,3200,3200,3500,3700,3900,4200,4300,4400,4400
GET,/status,444,0,3300,3143.200972973097,497.23138997796923,4610.273622005479,639.8333333333334,3.7218661758627225,0.0,3300,3400,3500,3600,3900,4000,4200,4300,4600,4600,4600
,Aggregated,2341,25,3000,2893.408584052122,69.33292699977756,4756.865218980238,292.47287483981205,19.623623238050975,0.20956453692920735,3000,3200,3300,3400,3700,3900,4100,4300,4700,4800,4800
